RECHTSTRÄGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Abwasserverband Grimmenstein-Edlitz-Thomasberg;20124;4;1;;
Abwasserverband Großraum Bruck an der Leitha - Neusiedl am See;20124;2;1;;
Abwasserverband Großraum Bruck an der Leitha - Neusiedl am See;20124;4;1;;
Abwasserverband Grossache-Nord;20124;2;1;;
Abwasserverband Grossache-Nord;20124;4;1;;
Abwasserverband Gurgltal - Imst - Inntal;20124;2;1;;
Abwasserverband Gurgltal - Imst - Inntal;20124;4;1;;
Abwasserverband Hall in Tirol - Fritzens;20124;2;1;;
Abwasserverband Hall in Tirol - Fritzens;20124;4;1;;
Abwasserverband Hausruck-Süd;20124;2;1;;
Abwasserverband Hausruck-Süd;20124;4;1;;
Abwasserverband Hohe Tauern Süd, Matrei i. O. - Virgen - Prägraten a. G. - Kals a. Gr. - Hopfgarten i. D. - St. Veit i. D.;20124;2;1;;
Abwasserverband Hohe Tauern Süd, Matrei i. O. - Virgen - Prägraten a. G. - Kals a. Gr. - Hopfgarten i. D. - St. Veit i. D.;20124;4;1;;
Abwasserverband im Raume Gr.Kadolz;20124;2;1;;
Abwasserverband im Raume Gr.Kadolz;20124;4;1;;
Abwasserverband Karnische Region;20124;2;1;;
Abwasserverband Karnische Region;20124;4;1;;
Abwasserverband Knittelfeld und Umgebung;20124;2;1;;
Abwasserverband Knittelfeld und Umgebung;20124;4;1;;
Abwasserverband Kössen-Schwendt;20124;2;1;;
Abwasserverband Kössen-Schwendt;20124;4;1;;
Abwasserverband Kufstein und Umgebung;20124;2;1;;
Abwasserverband Kufstein und Umgebung;20124;4;1;;
Abwasserverband Lainsitz;20124;2;1;;
Abwasserverband Lainsitz;20124;4;1;;
Abwasserverband Lainsitz Mitte;20124;2;1;;
Abwasserverband Lainsitz Mitte;20124;4;1;;
Abwasserverband Laßnitz-Wildbach-Gamsbach;20124;2;1;;
Abwasserverband Laßnitz-Wildbach-Gamsbach;20124;4;1;;
Abwasserverband Lechtal;20124;2;1;;
